partner_id,region,reporting_month,households_supported,amount_disbursed_usd,submission_timestamp,source_file,processed_at
A001,Northern,2024-01-01,150,7500.0,2024-01-10 14:30:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A001,Northern,2024-02-01,165,8250.0,2024-02-12 09:15:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A001,Central,2024-01-01,200,10000.0,2024-01-11 11:20:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A002,Southern,2024-01-01,90,4500.0,2024-01-09 16:45:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A002,Southern,2024-02-01,110,5500.0,2024-02-14 13:10:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A001,Northern,2024-03-01,180,9000.0,2024-03-11 10:00:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A002,Southern,2024-03-01,95,4750.0,2024-03-09 15:30:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A003,Central,2024-01-01,220,11000.0,2024-01-15 08:45:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A003,Central,2024-02-01,240,12000.0,2024-02-16 14:20:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
A003,Central,2024-03-01,250,12500.0,2024-03-18 11:10:00,partner_A_2024_01.csv,2026-01-26T21:39:26.666642
